Data;s_1001;s_1002;s_1003;s_1004;s_1005;s_1006;s_1007;s_1008;s_1009;s_1010;s_1011;s_1012;s_1013;s_1014;s_1015;s_1016;s_1018;s_1019;s_1020;s_1021;s_1022;s_1028;s_1029;s_1030;s_1031;s_1032;s_1033;s_1034;s_1035;s_1036;s_1037
jun/97;NA;NA;NA;NA;13,61432058;36,06611858;92,94002309;NA;82,02812376;59,57051702;83,41109159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/97;NA;NA;NA;NA;13,7995692;38,02155037;90,04506942;NA;83,6437219;60,38785886;83,31133022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/97;NA;NA;NA;NA;14,06295344;38,2210134;92,2569681;NA;82,38258333;59,82608306;82,67079194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/97;NA;NA;NA;NA;13,1263349;39,61510268;93,68213751;NA;82,27458383;61,42191143;83,11611687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/97;NA;NA;NA;NA;12,40205025;36,70643669;95,76478989;NA;81,91275621;62,50242372;84,07988364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/97;NA;NA;NA;NA;12,26760378;35,864395;93,74455242;NA;81,57753274;60,73513961;83,11020093;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/97;NA;NA;NA;NA;13,63393323;35,721078;92,49780456;NA;80,31805514;62,12638814;82,23406359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/98;NA;NA;NA;NA;14,03922092;35,65636197;92,56128934;NA;82,49599767;57,55696085;82,32529872;1525329818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/98;NA;NA;NA;NA;14,59990792;37,90725892;91,18069599;NA;83,436731;58,07525414;82,36527859;1572048042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/98;NA;NA;NA;NA;14,41268299;37,73972388;92,60193525;NA;82,62573334;61,15991695;84,00327941;1504511200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
